구분,강간검거,강간발생,강도검거,강도발생,살인검거,살인발생,절도검거,절도발생,폭력검거,폭력발생,주소,lat,lng,구
강남,269.0,339.0,26.0,24.0,3.0,3.0,1129.0,2438.0,2096.0,2336.0,대한민국 서울특별시 강남구 대치동 998,37.5094352,127.0669578,강남구
강동,152.0,160.0,13.0,14.0,5.0,4.0,902.0,1754.0,2201.0,2530.0,대한민국 서울특별시 강동구 성내1동 성내로 57,37.528511,127.1268224,강동구
강북,159.0,217.0,4.0,5.0,6.0,7.0,672.0,1222.0,2482.0,2778.0,대한민국 서울특별시 강북구 번1동 415-15,37.6373881,127.0273238,강북구
강서,239.0,275.0,10.0,10.0,10.0,9.0,1070.0,1952.0,2768.0,3204.0,대한민국 서울특별시 양천구 신월동 화곡로 73,37.5397827,126.8299968,강서구
관악,264.0,322.0,10.0,12.0,7.0,6.0,937.0,2103.0,2707.0,3235.0,대한민국 서울특별시 관악구 봉천동,37.4743789,126.9509748,관악구
광진,234.0,279.0,6.0,11.0,4.0,4.0,1057.0,2636.0,2011.0,2392.0,대한민국 서울특별시 광진구 구의1동 자양로 167,37.542873,127.083821,광진구
구로,181.0,273.0,13.0,10.0,9.0,9.0,861.0,1910.0,2680.0,3164.0,대한민국 서울특별시 구로구 가마산로 235,37.494931,126.886731,구로구
금천,143.0,175.0,7.0,7.0,6.0,6.0,654.0,1264.0,1946.0,2193.0,대한민국 서울특별시 관악구 신림동 544,37.4814051,126.9099508,금천구
남대문,52.0,57.0,4.0,5.0,1.0,1.0,429.0,946.0,832.0,890.0,대한민국 서울특별시 중구 남대문로5가 한강대로 410,37.5547584,126.9734981,중구
노원,142.0,159.0,9.0,6.0,6.0,5.0,740.0,1857.0,2124.0,2516.0,대한민국 서울특별시 노원구 하계동 노원로 283,37.6423605,127.0714027,노원구
도봉,121.0,123.0,5.0,5.0,3.0,3.0,492.0,866.0,1309.0,1441.0,대한민국 서울특별시 도봉구 창4동 노해로 403,37.6533589,127.052682,도봉구
동대문,158.0,190.0,12.0,10.0,5.0,5.0,1071.0,1940.0,2377.0,2642.0,대한민국 서울특별시 동대문구 청량리동 약령시로21길 29,37.58506149999999,127.0457679,동대문구
동작,149.0,325.0,7.0,7.0,6.0,8.0,554.0,1226.0,1444.0,1661.0,대한민국 서울특별시 동작구 노량진동 72,37.5130685,126.9428078,동작구
마포,320.0,399.0,7.0,4.0,4.0,4.0,940.0,2527.0,2500.0,2939.0,대한민국 서울특별시 마포구 아현동 618-1,37.550814,126.954028,마포구
방배,51.0,78.0,5.0,4.0,1.0,1.0,293.0,472.0,446.0,500.0,대한민국 서울특별시 서초구 방배동 동작대로 204,37.4945959,126.9831279,서초구
서대문,147.0,175.0,4.0,5.0,7.0,6.0,752.0,1503.0,1644.0,1976.0,대한민국 서울특별시 서대문구 미근동 통일로 113,37.5647848,126.9667762,서대문구
서부,49.0,54.0,2.0,4.0,4.0,4.0,389.0,781.0,980.0,1128.0,대한민국 서울특별시 은평구 대조동 통일로 757,37.6128611,126.9274951,은평구
서초,220.0,350.0,5.0,9.0,4.0,4.0,814.0,1733.0,1583.0,1838.0,대한민국 서울특별시 서초구 서초3동 반포대로 179,37.4956054,127.0052504,서초구
성동,78.0,104.0,5.0,3.0,5.0,4.0,896.0,1296.0,1408.0,1619.0,대한민국 서울특별시 성동구 행당1동 왕십리광장로 9,37.5617309,127.0363806,성동구
성북,75.0,103.0,3.0,3.0,2.0,2.0,381.0,790.0,1004.0,1176.0,대한민국 서울특별시 성북구 삼선동5가 301,37.5897271,127.0161318,성북구
송파,184.0,234.0,12.0,15.0,8.0,9.0,1048.0,2543.0,2808.0,3289.0,대한민국 서울특별시 송파구 가락본동 9,37.5019065,127.1271513,송파구
수서,144.0,177.0,16.0,15.0,2.0,2.0,789.0,1149.0,1431.0,1666.0,대한민국 서울특별시 강남구 개포동 개포로 617,37.49349,127.0772119,강남구
양천,108.0,131.0,7.0,7.0,5.0,5.0,755.0,1719.0,1918.0,2250.0,대한민국 서울특별시 양천구 신정6동 목동동로 99,37.5165667,126.8656763,양천구
영등포,225.0,356.0,14.0,19.0,13.0,13.0,940.0,2341.0,3007.0,3593.0,대한민국 서울특별시 영등포구 당산동3가 2-11,37.5257884,126.901006,영등포구
용산,214.0,251.0,10.0,9.0,4.0,4.0,599.0,1489.0,2008.0,2384.0,대한민국 서울특별시 용산구 원효로1가 12-12,37.5411211,126.9676935,용산구
은평,93.0,102.0,5.0,5.0,2.0,2.0,501.0,885.0,1328.0,1536.0,대한민국 서울특별시 은평구 불광2동 연서로 365,37.6283597,126.9287226,은평구
종로,113.0,137.0,3.0,6.0,0.0,4.0,389.0,952.0,1135.0,1291.0,대한민국 서울특별시 종로구 종로1.2.3.4가동 율곡로 46,37.5755578,126.9848674,종로구
종암,42.0,51.0,5.0,5.0,1.0,2.0,344.0,680.0,815.0,932.0,대한민국 서울특별시 성북구 종암동 종암로 135,37.6020592,127.0321577,성북구
중랑,150.0,164.0,14.0,14.0,7.0,8.0,1052.0,1691.0,2712.0,3164.0,대한민국 서울특별시 중랑구 신내1동 신내역로3길 40-10,37.618692,127.1047136,중랑구
중부,96.0,141.0,3.0,3.0,2.0,2.0,485.0,1204.0,1164.0,1335.0,대한민국 서울특별시 중구 을지로동 수표로 27,37.5636465,126.9895796,중구
혜화,64.0,101.0,6.0,6.0,2.0,2.0,379.0,988.0,842.0,972.0,대한민국 서울특별시 종로구 종로1.2.3.4가동 창경궁로 112-16,37.5718401,126.9988562,종로구
