,구,인구수,남성,여성,내국인,남성내국인,여성내국인,외국인,남성외국인,여성외국인,세대당인구,고령자,외국인비율,고령비율,여성비율
1,종로구,164348,79962,84386,154549,75749,78800,9799,4213,5586,2.09,26429,0.059623481879913356,0.16081120549078784,0.513459245016672
2,중구,135139,66582,68557,126082,62376,63706,9057,4206,4851,2.07,21655,0.06701988323133959,0.1602424170668719,0.5073072910114771
3,용산구,245411,119985,125426,229909,111262,118647,15502,8723,6779,2.12,37238,0.063167502679179,0.15173728968954123,0.5110854851657016
4,성동구,314551,154672,159879,306532,150937,155595,8019,3735,4284,2.28,41752,0.02549348118429126,0.13273523212452035,0.5082768771995638
5,광진구,371671,180206,191465,357149,173946,183203,14522,6260,8262,2.21,44470,0.039072190189710795,0.11964882920647563,0.5151464601758007
6,동대문구,364962,180381,184581,349308,174476,174832,15654,5905,9749,2.18,56284,0.04289213671560327,0.15421879538143698,0.5057540237065776
7,중랑구,411552,204411,207141,406868,202526,204342,4684,1885,2799,2.27,59992,0.01138130782987326,0.14577015784153644,0.5033167133193376
8,성북구,453902,220024,233878,442226,215421,226805,11676,4603,7073,2.36,66896,0.025723614348471698,0.1473798308886059,0.5152610034765214
9,강북구,327511,159853,167658,323862,158440,165422,3649,1413,2236,2.26,57002,0.011141610510792004,0.17404606257499747,0.511915630314707
10,도봉구,345041,168833,176208,342861,168009,174852,2180,824,1356,2.49,54293,0.006318089734263464,0.15735231465246158,0.5106871357316957
11,노원구,555803,269762,286041,551902,268144,283758,3901,1618,2283,2.53,75081,0.007018673882652667,0.13508563285912453,0.5146445773052682
12,은평구,490253,237542,252711,485902,235674,250228,4351,1868,2483,2.39,75535,0.008875009433904535,0.15407350898413677,0.5154705835558375
13,서대문구,324871,154960,169911,312311,150793,161518,12560,4167,8393,2.27,49645,0.03866149948748888,0.15281450175608163,0.5230106719282422
14,마포구,385624,182905,202719,374742,178661,196081,10882,4244,6638,2.2,50122,0.028219197975229756,0.1299763500197083,0.5256908283716781
15,양천구,473087,233189,239898,469221,231409,237812,3866,1780,2086,2.66,56070,0.008171858453096365,0.1185194266593671,0.5070906619712653
16,강서구,608361,296098,312263,601696,292871,308825,6665,3227,3438,2.35,77381,0.010955666125869344,0.12719585903764377,0.5132856971436368
17,구로구,440396,220903,219493,408369,202731,205638,32027,18172,13855,2.38,59838,0.07272318549668934,0.13587316869363028,0.4983991680215079
18,금천구,253344,129791,123553,234238,119023,115215,19106,10768,8338,2.2,34640,0.07541524567386636,0.13673108500694708,0.4876886762662625
19,영등포구,403988,203472,200516,369128,184127,185001,34860,19345,15515,2.19,54704,0.08628969177302297,0.13540996267215857,0.49634147548937096
20,동작구,406715,197848,208867,394353,192215,202138,12362,5633,6729,2.27,57711,0.03039474816517709,0.14189543046113373,0.5135463408037569
21,관악구,522292,262428,259864,504445,253911,250534,17847,8517,9330,1.95,70807,0.03417054061712605,0.13556975791319797,0.49754543435472876
22,서초구,445164,213279,231885,440954,211156,229798,4210,2123,2087,2.53,54055,0.009457188811314483,0.12142715942888463,0.5208979162735531
23,강남구,557865,267314,290551,552976,264834,288142,4889,2480,2409,2.39,65859,0.008763769012216217,0.11805544352128203,0.5208267233111954
24,송파구,671994,326511,345483,665282,323228,342054,6712,3283,3429,2.5,77978,0.009988184418313258,0.11603972654517748,0.5141161974660488
25,강동구,438225,217570,220655,434027,215588,218439,4198,1982,2216,2.45,56983,0.009579553882138171,0.13003137657595984,0.5035198813394945
