구분,강간검거,강간,강도검거,강도,살인검거,살인,절도검거,절도,폭력검거,폭력,구
강남,366,456,16,13,6,6,787,2069,1942,2229,강남구
강동,169,172,12,10,6,5,949,1645,2109,2429,강동구
강북,153,208,5,7,8,8,635,1014,2023,2156,강북구
강서,253,316,6,4,11,11,1113,1888,2544,2916,강서구
관악,323,379,6,7,7,8,1152,1979,2666,3152,관악구
광진,208,261,8,13,5,6,1168,2220,1900,2146,광진구
구로,181,328,6,8,8,7,869,1725,2344,2827,구로구
금천,212,240,5,5,5,5,674,1141,1676,1874,금천구
남대문,62,94,3,3,0,1,400,785,780,863,중구
노원,155,180,7,9,4,4,757,1538,2124,2478,노원구
도봉,115,104,3,3,1,1,417,633,1116,1258,도봉구
동대문,149,165,5,3,10,11,1017,1547,2093,2249,동대문구
동작,173,396,9,7,1,1,593,1226,1466,1700,동작구
마포,429,500,8,8,3,3,837,2094,2222,2673,마포구
방배,60,65,5,4,2,1,176,364,466,515,서초구
서대문,181,202,2,1,4,4,719,1230,1393,1676,서대문구
서부,79,93,2,2,3,3,375,553,844,904,은평구
서초,223,405,2,9,8,8,659,1448,1636,1889,서초구
성동,106,132,3,3,1,1,543,1072,1378,1559,성동구
성북,72,107,5,5,5,5,332,701,855,1005,성북구
송파,242,288,3,1,6,6,1026,2274,2593,3007,송파구
수서,130,151,8,7,1,1,596,1061,1469,1727,강남구
양천,122,138,2,3,2,3,756,1590,1778,2148,양천구
영등포,267,455,5,5,13,15,1108,2304,2619,3190,영등포구
용산,289,327,4,5,1,1,626,1346,2016,2381,용산구
은평,134,137,2,2,3,3,559,834,1206,1352,은평구
종로,103,131,4,5,3,5,360,910,1059,1220,종로구
종암,62,66,3,3,2,2,371,643,772,897,성북구
중랑,144,172,4,3,5,5,813,1533,2426,2858,중랑구
중부,87,173,6,6,0,0,489,1061,1024,1198,중구
혜화,70,122,4,5,2,2,298,734,778,923,종로구
